,Date,ES=F,GC=F,NQ=F,RTY=F,YM=F,AverageEquity
0,2000-08-31,,,,,,
1,2000-09-01,,0.0,,,,
2,2000-09-05,,0.0,,,,
3,2000-09-06,,0.0,,,,
4,2000-09-07,,0.0,,,,
5,2000-09-08,,0.0,,,,
6,2000-09-11,,0.0,,,,
7,2000-09-12,,0.0,,,,
8,2000-09-13,,0.0,,,,
9,2000-09-14,,0.0,,,,
10,2000-09-15,,0.0,,,,
11,2000-09-18,,-0.0,,,,
12,2000-09-19,,0.0,,,,
13,2000-09-20,0.0,-0.0,0.0,,,
14,2000-09-21,0.0,-0.0,-0.0,,,
15,2000-09-22,0.0,-0.0,0.0,,,
16,2000-09-25,0.0,0.0,0.0,,,
17,2000-09-26,-0.0,-0.0,-0.0,,,
18,2000-09-27,-0.0,0.0,-0.0,,,
19,2000-09-28,0.0,0.0,0.0,,,
20,2000-09-29,-0.0,0.0,0.0,,,
21,2000-10-02,0.0,0.0,0.0,,,
22,2000-10-03,-0.0,0.0,-0.0,,,
23,2000-10-04,-0.0,-0.0,-0.0,,,
24,2000-10-05,0.0,0.0,0.0,,,
25,2000-10-06,0.0,-0.0,0.0,,,
26,2000-10-09,0.0,-0.0,0.0,,,
27,2000-10-10,0.0,0.0,0.0,,,
28,2000-10-11,0.0,-0.0,0.0,,,
29,2000-10-12,-0.0,0.0,-0.0,,,
30,2000-10-13,-0.0,0.0,-0.0,,,
31,2000-10-16,0.0,0.0,0.0,,,
32,2000-10-17,0.0,0.0,0.0,,,
33,2000-10-18,-0.0,0.0,-0.0,,,
34,2000-10-19,-0.0,-0.0,-0.0,,,
35,2000-10-20,-0.0,0.0,0.0,,,
36,2000-10-23,0.0,0.0,0.0,,,
37,2000-10-24,0.0,0.0,0.0,,,
38,2000-10-25,0.0,0.0,-0.0,,,
39,2000-10-26,-0.0,0.0,0.0,,,
40,2000-10-27,-0.0,0.0,0.0,,,
41,2000-10-30,-0.0,-0.0,-0.0,,,
42,2000-10-31,0.0,0.0,0.0,,,
43,2000-11-01,-0.0,-0.0,-0.0,,,
44,2000-11-02,-0.0,-0.0,-0.0,,,
45,2000-11-03,-0.0,0.0,0.0,,,
46,2000-11-06,0.0,0.0,0.0,,,
47,2000-11-07,0.0,-0.0,0.0,,,
48,2000-11-08,0.0,-0.0,0.0,,,
49,2000-11-09,0.0,0.0,0.0,,,
50,2000-11-10,0.0,0.0,0.0,,,
51,2000-11-13,-0.0,-0.0,-0.0,,,
52,2000-11-14,-0.0,-0.0,-0.0,,,
53,2000-11-15,0.0,-0.0,0.0,,,
54,2000-11-16,0.0,0.0,-0.0,,,
55,2000-11-17,0.0,-0.0,0.0,,,
56,2000-11-20,-0.0,0.0,0.0,,,
57,2000-11-21,0.0,-0.0,0.0,,,
58,2000-11-22,-0.0,-0.0,-0.0,,,
59,2000-11-24,-0.0,,0.0,,,
60,2000-11-27,0.0,0.0,0.0,,,
61,2000-11-28,0.0,0.0,0.0,,,
62,2000-11-29,0.0,-0.0,0.0,,,
63,2000-11-30,0.0,0.0,-0.0,,,
64,2000-12-01,-0.0,-0.0,0.0,,,
65,2000-12-04,-0.0,0.0,-0.0,,,
66,2000-12-05,0.0,-0.0,0.0,,,
67,2000-12-06,0.0,0.0,0.0,,,
68,2000-12-07,-0.0,0.0,-0.0,,,
69,2000-12-08,-0.0,0.0,-0.0,,,
70,2000-12-11,0.0,-0.0,0.0,,,
71,2000-12-12,0.0,0.0,0.0,,,
72,2000-12-13,0.0,-0.0,0.0,,,
73,2000-12-14,0.0,-0.0,0.0,,,
74,2000-12-15,-0.0,0.0,-0.0,,,
75,2000-12-18,0.0,0.0,0.0,,,
76,2000-12-19,0.0,-0.0,0.0,,,
77,2000-12-20,-0.0,-0.0,-0.0,,,
78,2000-12-21,-0.0,0.0,-0.0,,,
79,2000-12-22,-0.0,-0.0,-0.0,,,
