,Unnamed: 0.1,Unnamed: 0,Date,BRL=X,CAD=X,CL=F,CT=F,ES=F,EUR=X,GBP=X,GC=F,JPY=X,MME=F,MXN=X,NQ=F,RTY=F,SB=F,SI=F,YM=F,ZB=F,ZC=F,ZF=F,ZN=F,ZT=F,CarteiraEquity,CarteiraMoeda,CarteiraRenda_Fixa
0,0,0,1996-10-30,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,1996-11-01,,,,,,,,,-0.0,,,,,,,,,,,,,,,
2,2,2,1996-11-04,,,,,,,,,0.0,,,,,,,,,,,,,,,
3,3,3,1996-11-05,,,,,,,,,0.0,,,,,,,,,,,,,,,
4,4,4,1996-11-06,,,,,,,,,-0.0,,,,,,,,,,,,,,,
5,5,5,1996-11-08,,,,,,,,,-0.0,,,,,,,,,,,,,,,
6,6,6,1996-11-11,,,,,,,,,-0.0,,,,,,,,,,,,,,,
7,7,7,1996-11-12,,,,,,,,,0.0,,,,,,,,,,,,,,,
8,8,8,1996-11-13,,,,,,,,,0.0,,,,,,,,,,,,,,,
9,9,9,1996-11-15,,,,,,,,,-0.0,,,,,,,,,,,,,,,
10,10,10,1996-11-18,,,,,,,,,0.0,,,,,,,,,,,,,,,
11,11,11,1996-11-19,,,,,,,,,0.0,,,,,,,,,,,,,,,
12,12,12,1996-11-20,,,,,,,,,-0.0,,,,,,,,,,,,,,,
13,13,13,1996-11-21,,,,,,,,,-0.0,,,,,,,,,,,,,,,
14,14,14,1996-11-22,,,,,,,,,0.0,,,,,,,,,,,,,,,
15,15,15,1996-11-26,,,,,,,,,0.0,,,,,,,,,,,,,,,
16,16,16,1996-11-28,,,,,,,,,0.0,,,,,,,,,,,,,,,
17,17,17,1996-11-29,,,,,,,,,0.0,,,,,,,,,,,,,,,
18,18,18,1996-12-02,,,,,,,,,0.0,,,,,,,,,,,,,,,
19,19,19,1996-12-03,,,,,,,,,-0.0,,,,,,,,,,,,,,,
20,20,20,1996-12-04,,,,,,,,,-0.0,,,,,,,,,,,,,,,
21,21,21,1996-12-05,,,,,,,,,-0.0,,,,,,,,,,,,,,,
22,22,22,1996-12-06,,,,,,,,,0.0,,,,,,,,,,,,,,,
23,23,23,1996-12-09,,,,,,,,,0.0,,,,,,,,,,,,,,,
24,24,24,1996-12-10,,,,,,,,,-0.0,,,,,,,,,,,,,,,
25,25,25,1996-12-11,,,,,,,,,-0.0,,,,,,,,,,,,,,,
26,26,26,1996-12-12,,,,,,,,,0.0,,,,,,,,,,,,,,,
27,27,27,1996-12-13,,,,,,,,,0.0,,,,,,,,,,,,,,,
28,28,28,1996-12-16,,,,,,,,,-0.0,,,,,,,,,,,,,,,
29,29,29,1996-12-17,,,,,,,,,0.0,,,,,,,,,,,,,,,
30,30,30,1996-12-18,,,,,,,,,-0.0,,,,,,,,,,,,,,,
31,31,31,1996-12-19,,,,,,,,,0.0,,,,,,,,,,,,,,,
