,Date,BRL=X,CAD=X,CL=F,CT=F,ES=F,EUR=X,GBP=X,GC=F,JPY=X,MXN=X,NQ=F,SB=F,SI=F,YM=F,ZB=F,ZC=F,ZF=F,ZN=F,ZT=F,CarteiraRenda_Fixa,CarteiraMoeda,CarteiraEquity
0,2000-01-03,,,,,,,,,,,,,,,,,,,,,,
1,2000-01-04,,,,,,,,,,,,,,,,,,,,,,
2,2000-01-05,,,,,,,,,,,,,,,,,,,,,,
3,2000-01-06,,,,,,,,,,,,,,,,,,,,,,
4,2000-01-07,,,,,,,,,,,,,,,,,,,,,,
5,2000-01-10,,,,,,,,,,,,,,,,,,,,,,
6,2000-01-11,,,,,,,,,,,,,,,,,,,,,,
7,2000-01-12,,,,,,,,,,,,,,,,,,,,,,
8,2000-01-13,,,,,,,,,,,,,,,,,,,,,,
9,2000-01-14,,,,,,,,,,,,,,,,,,,,,,
10,2000-01-17,,,,,,,,,,,,,,,,,,,,,,
11,2000-01-18,,,,,,,,,,,,,,,,,,,,,,
12,2000-01-19,,,,,,,,,,,,,,,,,,,,,,
13,2000-01-20,,,,,,,,,,,,,,,,,,,,,,
14,2000-01-21,,,,,,,,,,,,,,,,,,,,,,
15,2000-01-24,,,,,,,,,,,,,,,,,,,,,,
16,2000-01-25,,,,,,,,,,,,,,,,,,,,,,
17,2000-01-26,,,,,,,,,,,,,,,,,,,,,,
18,2000-01-27,,,,,,,,,,,,,,,,,,,,,,
19,2000-01-28,,,,,,,,,,,,,,,,,,,,,,
20,2000-01-31,,,,,,,,,,,,,,,,,,,,,,
21,2000-02-01,,,,,,,,,,,,,,,,,,,,,,
22,2000-02-02,,,,,,,,,,,,,,,,,,,,,,
23,2000-02-03,,,,,,,,,,,,,,,,,,,,,,
24,2000-02-04,,,,,,,,,,,,,,,,,,,,,,
25,2000-02-07,,,,,,,,,,,,,,,,,,,,,,
26,2000-02-08,,,,,,,,,,,,,,,,,,,,,,
27,2000-02-09,,,,,,,,,,,,,,,,,,,,,,
28,2000-02-10,,,,,,,,,,,,,,,,,,,,,,
29,2000-02-11,,,,,,,,,,,,,,,,,,,,,,
30,2000-02-14,,,,,,,,,,,,,,,,,,,,,,
31,2000-02-15,,,,,,,,,,,,,,,,,,,,,,
32,2000-02-16,,,,,,,,,,,,,,,,,,,,,,
33,2000-02-17,,,,,,,,,,,,,,,,,,,,,,
34,2000-02-18,,,,,,,,,,,,,,,,,,,,,,
35,2000-02-21,,,,,,,,,,,,,,,,,,,,,,
36,2000-02-22,,,,,,,,,,,,,,,,,,,,,,
37,2000-02-23,,,,,,,,,,,,,,,,,,,,,,
38,2000-02-24,,,,,,,,,,,,,,,,,,,,,,
39,2000-02-25,,,,,,,,,,,,,,,,,,,,,,
40,2000-02-28,,,,,,,,,,,,,,,,,,,,,,
41,2000-02-29,,,,,,,,,,,,,,,,,,,,,,
42,2000-03-01,,,,,,,,,,,,,,,,,,,,,,
43,2000-03-02,,,,,,,,,,,,,,,,,,,,,,
44,2000-03-03,,,,,,,,,,,,,,,,,,,,,,
45,2000-03-06,,,,,,,,,,,,,,,,,,,,,,
46,2000-03-07,,,,,,,,,,,,,,,,,,,,,,
47,2000-03-08,,,,,,,,,,,,,,,,,,,,,,
48,2000-03-09,,,,,,,,,,,,,,,,,,,,,,
49,2000-03-10,,,,,,,,,,,,,,,,,,,,,,
50,2000-03-13,,,,,,,,,,,,,,,,,,,,,,
51,2000-03-14,,,,,,,,,,,,,,,,,,,,,,
52,2000-03-15,,,,,,,,,,,,,,,,,,,,,,
53,2000-03-16,,,,,,,,,,,,,,,,,,,,,,
54,2000-03-17,,,,,,,,,,,,,,,,,,,,,,
55,2000-03-20,,,,,,,,,,,,,,,,,,,,,,
56,2000-03-21,,,,,,,,,,,,,,,,,,,,,,
57,2000-03-22,,,,,,,,,,,,,,,,,,,,,,
58,2000-03-23,,,,,,,,,,,,,,,,,,,,,,
59,2000-03-24,,,,,,,,,,,,,,,,,,,,,,
60,2000-03-27,,,,,,,,,,,,,,,,,,,,,,
61,2000-03-28,,,,,,,,,,,,,,,,,,,,,,
62,2000-03-29,,,,,,,,,,,,,,,,,,,,,,
63,2000-03-30,,,,,,,,,,,,,,,,,,,,,,
64,2000-03-31,,,,,,,,,,,,,,,,,,,,,,
65,2000-04-03,,,,,,,,,,,,,,,,,,,,,,
66,2000-04-04,,,,,,,,,,,,,,,,,,,,,,
67,2000-04-05,,,,,,,,,,,,,,,,,,,,,,
68,2000-04-06,,,,,,,,,,,,,,,,,,,,,,
69,2000-04-07,,,,,,,,,,,,,,,,,,,,,,
70,2000-04-10,,,,,,,,,,,,,,,,,,,,,,
71,2000-04-11,,,,,,,,,,,,,,,,,,,,,,
72,2000-04-12,,,,,,,,,,,,,,,,,,,,,,
73,2000-04-13,,,,,,,,,,,,,,,,,,,,,,
